Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity
2020-08-17,28,4.0,72.0,4.3,84
2020-08-18,54,7.2,74.0,1.5,85
2020-08-19,102.5,10.1,93.0,0.1,91
2020-08-20,0,3.6,75.0,9.0,83
2020-08-21,0,3.3,71.0,11.0,77
2020-08-22,0,3.5,51.0,9.4,77
2020-08-23,0,4.9,60.0,8.8,77
2020-08-24,1,9.8,59.0,11.3,76
2020-08-25,0,13.1,63.0,10.9,77
2020-08-26,6.5,11.3,77.0,7.8,81
2020-08-27,5,6.0,81.0,4.2,83
2020-08-28,0,4.5,79.0,5.0,82
2020-08-29,0.5,5.2,40.0,8.3,77
2020-08-30,0,4.0,58.0,6.1,80
2020-08-31,0.5,4.3,79.0,5.1,76
2020-09-01,0,4.8,55.0,8.8,76
2020-09-02,0.5,5.2,52.0,8.1,77
2020-09-03,9,4.8,49.0,7.1,78
2020-09-04,1,3.5,68.0,4.6,82
2020-09-05,25,4.6,74.0,3.8,83
2020-09-06,7,3.5,62.0,7.8,80
2020-09-07,1,4.0,84.0,4.4,82
2020-09-08,97,3.4,89.0,0.1,91
2020-09-09,0,2.4,84.0,1.4,86
2020-09-10,2.5,5.3,86.0,3.3,83
2020-09-11,7,5.4,78.0,3.0,81
2020-09-12,90.5,4.8,82.0,4.8,85
2020-09-13,1.5,5.0,86.0,8.2,83
2020-09-14,38.5,5.2,88.0,3.9,85
2020-09-15,88.5,5.5,88.0,0.3,92
2020-09-16,3.5,7.0,78.0,6.8,85
2020-09-17,32,8.6,88.0,3.3,87
2020-09-18,25,6.3,87.0,1.3,88
2020-09-19,31,6.0,88.0,1.8,92
2020-09-20,0,4.0,66.0,8.1,83
2020-09-21,22,5.2,88.0,2.3,91
2020-09-22,16.5,8.0,75.0,8.9,82
2020-09-23,0,5.8,81.0,8.9,77
2020-09-24,1,5.0,87.0,4.3,80
2020-09-25,0,6.8,69.0,4.5,76
2020-09-26,1,8.8,84.0,2.4,76
2020-09-27,2,6.9,86.0,2.7,81
2020-09-28,6.5,3.2,89.0,0.1,87
2020-09-29,0,4.4,76.0,2.1,89
2020-09-30,59,4.6,82.0,4.2,88
2020-10-01,0,8.1,80.0,5.0,77
2020-10-02,0,6.0,52.0,9.4,75
2020-10-03,0,4.3,33.0,9.7,75
2020-10-04,0,4.6,34.0,9.1,78
2020-10-05,28,7.1,73.0,5.7,79
2020-10-06,0,9.6,83.0,0.6,78
2020-10-07,0,10.8,85.0,0.2,70
2020-10-08,0,9.7,71.0,7.0,67
2020-10-09,0,9.6,54.0,10.6,64
2020-10-10,0,6.2,40.0,9.8,69
2020-10-11,0,6.4,46.0,10.7,73
2020-10-12,0,9.1,68.0,10.3,72
2020-10-13,28,15.9,88.0,0.4,86
2020-10-14,0,11.9,88.0,0.1,80
2020-10-15,0,11.3,75.0,7.1,73
2020-10-16,3,9.0,74.0,9.1,71
2020-10-17,0,10.3,78.0,4.8,72
2020-10-18,0,8.7,53.0,9.3,73
2020-10-19,0,11.5,83.0,6.1,70
2020-10-20,0,9.0,64.0,9.5,68
2020-10-21,0,11.6,69.0,10.7,63
2020-10-22,0,13.8,74.0,5.6,60
2020-10-23,0,12.8,85.0,2.2,51
2020-10-24,0,9.9,87.0,3.5,55
2020-10-25,0,8.1,81.0,6.0,69
2020-10-26,0,7.6,38.0,10.1,76
2020-10-27,0,9.4,45.0,10.2,73
2020-10-28,6,6.9,82.0,0.0,78
2020-10-29,0,8.8,88.0,0.9,74
2020-10-30,0,7.8,88.0,1.9,78
2020-10-31,0,6.6,55.0,5.3,71
2020-11-01,0,4.0,31.0,10.1,72
2020-11-02,0,7.7,51.0,9.7,64
2020-11-03,0,7.5,70.0,3.1,69
2020-11-04,0.5,7.5,59.0,9.6,69
2020-11-05,0.5,6.3,26.0,10.2,69
2020-11-06,0,3.4,28.0,10.1,68
2020-11-07,0,6.0,33.0,10.2,56
2020-11-08,0,11.3,81.0,3.1,59
2020-11-09,0,9.5,75.0,7.2,60
2020-11-10,0,8.1,87.0,0.0,61
2020-11-11,0,7.5,44.0,9.6,68
2020-11-12,0,6.4,17.0,10.1,66
2020-11-13,0,7.4,71.0,1.5,62
2020-11-14,0,8.3,88.0,0.5,65
2020-11-15,0,7.0,84.0,1.5,77
2020-11-16,0,6.2,34.0,10.1,75
2020-11-17,0,8.8,79.0,7.1,78
2020-11-18,0,6.1,85.0,6.1,81
2020-11-19,0,4.1,68.0,5.1,86
2020-11-20,0,4.0,66.0,7.1,84
2020-11-21,1,9.3,89.0,0.7,88
2020-11-22,1,4.0,48.0,8.0,83
2020-11-23,0.5,7.7,88.0,0.0,84
2020-11-24,0,8.5,78.0,6.0,79
2020-11-25,0,8.1,56.0,9.8,77
2020-11-26,0,5.4,30.0,9.7,77
2020-11-27,0,9.3,26.0,9.7,70
2020-11-28,0,8.2,81.0,5.2,68
2020-11-29,0,8.8,79.0,4.6,64
2020-11-30,0,8.3,64.0,6.9,65
2020-12-01,0,6.5,54.0,8.6,66
2020-12-02,0,7.0,28.0,9.5,65
2020-12-03,0,11.0,11.0,9.6,64
2020-12-04,0,11.0,14.0,9.6,63
2020-12-05,0,6.8,35.0,9.0,63
2020-12-06,0,4.6,26.0,9.6,69
2020-12-07,0,6.1,75.0,5.7,63
2020-12-08,0,7.6,83.0,2.9,64
