Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity,Minimum Temperature (°C),Mean Temperature (°C),Maximum Temperature (°C)
2020-09-03,9,4.8,49.0,7.1,78,26.4,29.7,34.6
2020-09-04,1,3.5,68.0,4.6,82,26.3,28.9,32.1
2020-09-05,25,4.6,74.0,3.8,83,24.8,28.3,32
2020-09-06,7,3.5,62.0,7.8,80,25.9,28.4,32
2020-09-07,1,4.0,84.0,4.4,82,26.5,28.5,32.1
2020-09-08,97,3.4,89.0,0.1,91,25.1,26.8,29.1
2020-09-09,0,2.4,84.0,1.4,86,25.7,27.4,31.7
2020-09-10,2.5,5.3,86.0,3.3,83,25.8,28.2,32.5
2020-09-11,7,5.4,78.0,3.0,81,26.3,28.7,32.6
2020-09-12,90.5,4.8,82.0,4.8,85,25.6,28.2,32.7
2020-09-13,1.5,5.0,86.0,8.2,83,25.1,28.1,31.9
2020-09-14,38.5,5.2,88.0,3.9,85,25.5,28.1,31.5
2020-09-15,88.5,5.5,88.0,0.3,92,25.6,27.4,29.8
2020-09-16,3.5,7.0,78.0,6.8,85,27.8,29.7,32.3
2020-09-17,32,8.6,88.0,3.3,87,26.5,29,31.8
2020-09-18,25,6.3,87.0,1.3,88,26,28.3,31.4
2020-09-19,31,6.0,88.0,1.8,92,25.7,27.5,30.5
2020-09-20,0,4.0,66.0,8.1,83,24.8,28.3,32.5
2020-09-21,22,5.2,88.0,2.3,91,25.6,27.8,30.3
2020-09-22,16.5,8.0,75.0,8.9,82,26,28.2,31
2020-09-23,0,5.8,81.0,8.9,77,26.5,28.9,32.3
2020-09-24,1,5.0,87.0,4.3,80,25.5,28,31.2
2020-09-25,0,6.8,69.0,4.5,76,24.7,27.3,30.6
2020-09-26,1,8.8,84.0,2.4,76,26.7,27.6,28.9
2020-09-27,2,6.9,86.0,2.7,81,26,27.4,29.4
2020-09-28,6.5,3.2,89.0,0.1,87,25.1,26.5,27.9
2020-09-29,0,4.4,76.0,2.1,89,25.9,27.5,29.6
2020-09-30,59,4.6,82.0,4.2,88,25.1,27.3,31.9
2020-10-01,0,8.1,80.0,5.0,77,25.2,27.1,29.3
2020-10-02,0,6.0,52.0,9.4,75,24.9,27.3,29.7
2020-10-03,0,4.3,33.0,9.7,75,24.8,27.5,31.2
2020-10-04,0,4.6,34.0,9.1,78,25.1,28.1,32.5
2020-10-05,28,7.1,73.0,5.7,79,25.5,27.7,30.5
2020-10-06,0,9.6,83.0,0.6,78,24.8,25.9,27.9
2020-10-07,0,10.8,85.0,0.2,70,23.6,24.7,26.4
2020-10-08,0,9.7,71.0,7.0,67,22.6,24.7,27.5
2020-10-09,0,9.6,54.0,10.6,64,22.9,25.7,28.8
2020-10-10,0,6.2,40.0,9.8,69,22.4,25.3,29.1
2020-10-11,0,6.4,46.0,10.7,73,23.7,26.3,30.2
2020-10-12,0,9.1,68.0,10.3,72,24.9,27.8,30.5
2020-10-13,28,15.9,88.0,0.4,86,23.9,25.3,27.4
2020-10-14,0,11.9,88.0,0.1,80,24.9,26.2,27.4
2020-10-15,0,11.3,75.0,7.1,73,25,26.5,29.3
2020-10-16,3,9.0,74.0,9.1,71,25,26.8,30.1
2020-10-17,0,10.3,78.0,4.8,72,23.5,25.2,27.5
2020-10-18,0,8.7,53.0,9.3,73,21.5,24.3,27.8
2020-10-19,0,11.5,83.0,6.1,70,21.7,24.1,27.4
2020-10-20,0,9.0,64.0,9.5,68,21.6,24.7,28
2020-10-21,0,11.6,69.0,10.7,63,20.9,24.2,27.4
2020-10-22,0,13.8,74.0,5.6,60,22.6,24.4,27.3
2020-10-23,0,12.8,85.0,2.2,51,21.7,23.6,24.8
2020-10-24,0,9.9,87.0,3.5,55,21.9,23.6,25.2
2020-10-25,0,8.1,81.0,6.0,69,22.5,24.1,27.1
2020-10-26,0,7.6,38.0,10.1,76,22.1,24.5,28.8
2020-10-27,0,9.4,45.0,10.2,73,22.3,25,29.3
2020-10-28,6,6.9,82.0,0.0,78,22.7,24.4,27
2020-10-29,0,8.8,88.0,0.9,74,22.6,24.5,26.5
2020-10-30,0,7.8,88.0,1.9,78,22.6,23.8,26.8
